,t,Sensor_1,Sensor_2,Sensor_3,Sensor_4
0,0,0,0,0,0
1,5.00E-07,0.349039376,0,0,0
2,1.00E-06,1.291545153,0,1.48E-15,0
3,1.50E-06,0.746525109,0,8.53E-10,0
4,2.00E-06,-3.213480473,0,1.35E-06,0
5,2.50E-06,-7.560549259,0,9.87E-05,0
6,3.00E-06,-5.734127045,0,0.001079197,0
7,3.50E-06,4.154138565,0,0.003875275,0
8,4.00E-06,14.27640629,0,0.006077733,0
9,4.50E-06,13.50727558,0,0.002289736,0
10,5.00E-06,-0.108698845,0,-0.013530193,0
11,5.50E-06,-15.27514839,0,-0.043676794,0
12,6.00E-06,-17.94282341,0,-0.068968236,0
13,6.50E-06,-5.714893818,0,-0.047682799,0
14,7.00E-06,9.747841835,0,0.046450205,0
15,7.50E-06,14.93867779,0,0.171300948,0
16,8.00E-06,7.644556999,0,0.21060434,0
17,8.50E-06,-2.871504068,0,0.067634605,0
18,9.00E-06,-7.107961655,0,-0.204657406,0
19,9.50E-06,-4.295619011,0,-0.388701588,0
20,1.00E-05,-0.19939962,0,-0.28025955,0
21,1.05E-05,1.052592635,0,0.091269046,0
22,1.10E-05,0.382203609,0,0.439076304,0
23,1.15E-05,0.007347449,0,0.459112167,0
24,1.20E-05,0,0,0.121286757,0
25,1.25E-05,0,0,-0.293030083,0
26,1.30E-05,0,0,-0.453834772,0
27,1.35E-05,0,0,-0.277084172,0
28,1.40E-05,0,0,0.044739809,0
29,1.45E-05,0,0,0.262461573,0
30,1.50E-05,0,0,0.277744651,0
31,1.55E-05,0,0,0.150334328,0
32,1.60E-05,0,0,-0.020054432,0
33,1.65E-05,0,0,-0.163920805,0
34,1.70E-05,0,0,-0.229830816,0
35,1.75E-05,0,0,-0.170253962,0
36,1.80E-05,0,0,0.005838788,0
37,1.85E-05,0,0,0.187854841,0
38,1.90E-05,0,0,0.233188763,0
39,1.95E-05,0,0,0.101636,0
40,2.00E-05,0,0,-0.094107583,0
41,2.05E-05,0,0,-0.188823283,0
42,2.10E-05,0,0,-0.118289985,0
43,2.15E-05,0,0,0.030297125,0
44,2.20E-05,0,0,0.117987856,0
45,2.25E-05,0,0,0.086736582,0
46,2.30E-05,0,0,-0.008013638,0
47,2.35E-05,0,0,-0.069042571,0
48,2.40E-05,0,0,-0.050727375,0
49,2.45E-05,0,0,0.01294888,0
50,2.50E-05,0,0,0.052970268,0
51,2.55E-05,0,0,0.034182832,0
52,2.60E-05,0,0,-0.016691534,0
53,2.65E-05,0,0,-0.046012256,0
54,2.70E-05,0,0,-0.027969509,0
55,2.75E-05,0,0,0.013737599,0
56,2.80E-05,0,0,0.035457972,0
57,2.85E-05,0,0,0.018140748,0
58,2.90E-05,0,0,-0.01587072,0
59,2.95E-05,0,0,-0.028850408,0
60,3.00E-05,0,0,-0.007180998,0
61,3.05E-05,0,3.58E-38,0.026387202,5.37E-37
62,3.10E-05,0,7.21E-36,0.037347402,7.00E-35
63,3.15E-05,0,1.10E-33,0.013400313,6.99E-33
64,3.20E-05,0,1.29E-31,-0.026010202,5.41E-31
65,3.25E-05,0,1.16E-29,-0.047916569,3.28E-29
66,3.30E-05,0,8.21E-28,-0.032905061,1.58E-27
67,3.35E-05,0,4.56E-26,0.0108973,6.09E-26
68,3.40E-05,0,2.01E-24,0.052898936,1.89E-24
69,3.45E-05,0,7.07E-23,0.060011338,4.79E-23
70,3.50E-05,0,2.00E-21,0.020883419,9.96E-22
71,3.55E-05,0,4.60E-20,-0.040543955,1.72E-20
72,3.60E-05,0,8.61E-19,-0.077437922,2.48E-19
73,3.65E-05,0,1.32E-17,-0.056467328,3.05E-18
74,3.70E-05,0,1.68E-16,0.01010958,3.23E-17
75,3.75E-05,0,1.78E-15,0.069791354,2.97E-16
76,3.80E-05,0,1.57E-14,0.074449874,2.39E-15
77,3.85E-05,0,1.17E-13,0.023442108,1.71E-14
78,3.90E-05,0,7.37E-13,-0.037594855,1.08E-13
79,3.95E-05,0,3.94E-12,-0.060661696,6.05E-13
80,4.00E-05,0,1.79E-11,-0.036612831,3.00E-12
81,4.05E-05,0,6.96E-11,0.004904486,1.32E-11
82,4.10E-05,0,2.30E-10,0.02990013,5.10E-11
83,4.15E-05,0,6.46E-10,0.029036304,1.74E-10
84,4.20E-05,0,1.51E-09,0.015295444,5.20E-10
85,4.25E-05,0,2.86E-09,0.002541572,1.36E-09
86,4.30E-05,0,4.00E-09,-0.006588979,3.04E-09
87,4.35E-05,0,2.71E-09,-0.014084959,5.75E-09
88,4.40E-05,0,-5.07E-09,-0.017128216,8.74E-09
89,4.45E-05,0,-2.36E-08,-0.010884193,9.50E-09
90,4.50E-05,0,-5.27E-08,0.002319264,4.25E-09
91,4.55E-05,0,-8.18E-08,0.01308057,-6.09E-09
92,4.60E-05,0,-8.89E-08,0.015004021,1.53E-09
93,4.65E-05,0,-4.98E-08,0.010468497,1.04E-07
94,4.70E-05,0,3.96E-08,0.004414502,4.56E-07
95,4.75E-05,0,1.46E-07,-0.00338236,1.23E-06
96,4.80E-05,0,2.09E-07,-0.014545764,2.30E-06
97,4.85E-05,0,2.01E-07,-0.022345651,2.53E-06
98,4.90E-05,0,2.04E-07,-0.013909776,-9.92E-07
99,4.95E-05,0,4.22E-07,0.012311336,-1.27E-05
100,5.00E-05,0,1.02E-06,0.035897531,-3.51E-05
101,5.05E-05,0,1.74E-06,0.030710571,-6.15E-05
102,5.10E-05,0,1.40E-06,-0.004709308,-7.01E-05
103,5.15E-05,0,-2.26E-06,-0.039000552,-2.91E-05
104,5.20E-05,0,-1.18E-05,-0.037520505,7.85E-05
105,5.25E-05,0,-2.76E-05,-7.13E-06,0.000220761
106,5.30E-05,0,-4.52E-05,0.037081525,0.000302992
107,5.35E-05,0,-5.28E-05,0.038304124,0.000208558
108,5.40E-05,0,-3.48E-05,0.005408634,-0.000110048
109,5.45E-05,0,1.74E-05,-0.02748185,-0.000544524
110,5.50E-05,0,8.95E-05,-0.031733148,-0.000828768
111,5.55E-05,0,0.000135526,-0.011021624,-0.000669895
112,5.60E-05,0,9.48E-05,0.010036506,2.70E-05
113,5.65E-05,0,-5.63E-05,0.016281577,0.000987069
114,5.70E-05,0,-0.000241229,0.01356511,0.001633763
115,5.75E-05,0,-0.000275706,0.012180604,0.001444492
116,5.80E-05,0,1.92E-05,0.009332665,0.000369167
117,5.85E-05,0,0.000605375,-0.004484313,-0.001059985
118,5.90E-05,0,0.001086586,-0.025240961,-0.002069401
119,5.95E-05,0,0.000864498,-0.031782228,-0.002149234
120,6.00E-05,0,-0.000360557,-0.008893257,-0.001290635
121,6.05E-05,0,-0.00207334,0.029157955,0.000149241
122,6.10E-05,0,-0.002978462,0.046465103,0.001669222
123,6.15E-05,0,-0.001868129,0.021703092,0.002696128
124,6.20E-05,0,0.001170982,-0.025733996,0.002657311
125,6.25E-05,0,0.004314585,-0.051123008,0.001313258
126,6.30E-05,0,0.005073858,-0.028680187,-0.000837041
127,6.35E-05,0,0.002322283,0.020853868,-0.002665127
128,6.40E-05,0,-0.002438029,0.049517136,-0.003210584
129,6.45E-05,0,-0.005944961,0.030160604,-0.002427685
130,6.50E-05,0,-0.005702484,-0.016097931,-0.00099777
131,6.55E-05,0,-0.00199635,-0.042052276,0.000576226
132,6.60E-05,0,0.00246226,-0.023279937,0.002351426
