,t,N_P1O,N_P2O,N_P3O,N_P4O
0,0,0,0,0,0
1,5.00E-07,0.349039376,0,0,0
2,1.00E-06,1.291545153,0,1.48E-15,0
3,1.50E-06,0.746525109,0,8.53E-10,0
4,2.00E-06,-3.213480473,0,1.35E-06,0
5,2.50E-06,-7.560549259,0,9.87E-05,0
6,3.00E-06,-5.734127045,0,0.001079197,0
7,3.50E-06,4.154138565,0,0.003875275,0
8,4.00E-06,14.27640629,0,0.006077733,0
9,4.50E-06,13.50727558,0,0.002289736,0
10,5.00E-06,-0.108698845,0,-0.013530193,0
11,5.50E-06,-15.27514839,0,-0.043676794,0
12,6.00E-06,-17.94282341,0,-0.068968236,0
13,6.50E-06,-5.714893818,0,-0.047682799,0
14,7.00E-06,9.747841835,0,0.046450205,0
15,7.50E-06,14.93867779,0,0.171300948,0
16,8.00E-06,7.644556999,0,0.21060434,0
17,8.50E-06,-2.871504068,0,0.067634605,0
18,9.00E-06,-7.107961655,0,-0.204657406,0
19,9.50E-06,-4.295619011,0,-0.388701618,0
20,1.00E-05,-0.19939962,0,-0.280259639,0
21,1.05E-05,1.052592635,0,0.09126889,0
22,1.10E-05,0.382203609,0,0.439076692,0
23,1.15E-05,0.007347449,0,0.459116489,0
24,1.20E-05,0,0,0.121302918,0
25,1.25E-05,0,0,-0.292998582,0
26,1.30E-05,0,0,-0.453819454,0
27,1.35E-05,0,0,-0.277177364,0
28,1.40E-05,0,0,0.044449925,0
29,1.45E-05,0,0,0.262084007,0
30,1.50E-05,0,0,0.27771464,0
31,1.55E-05,0,0,0.151134297,0
32,1.60E-05,0,0,-0.01857727,0
33,1.65E-05,0,0,-0.162933543,0
34,1.70E-05,0,0,-0.230759248,0
35,1.75E-05,0,0,-0.173159257,0
36,1.80E-05,0,0,0.003077298,0
37,1.85E-05,0,0,0.188069627,0
38,1.90E-05,0,0,0.236984342,0
39,1.95E-05,0,0,0.106048271,0
40,2.00E-05,0,0,-0.093291238,0
41,2.05E-05,0,0,-0.192832127,0
42,2.10E-05,0,0,-0.123529904,0
43,2.15E-05,0,0,0.029099489,0
44,2.20E-05,0,0,0.122395188,0
45,2.25E-05,0,0,0.092514083,0
46,2.30E-05,0,0,-0.006994601,0
47,2.35E-05,0,0,-0.074507661,0
48,2.40E-05,0,0,-0.057761069,0
49,2.45E-05,0,0,0.011443956,0
50,2.50E-05,0,0,0.059261359,0
51,2.55E-05,0,0,0.043098051,0
52,2.60E-05,0,0,-0.013219515,0
53,2.65E-05,0,0,-0.051441599,0
54,2.70E-05,0,0,-0.037834924,0
55,2.75E-05,0,0,0.007832306,0
56,2.80E-05,0,0,0.038323663,0
57,2.85E-05,0,0,0.026920123,0
58,2.90E-05,0,0,-0.008802725,0
59,2.95E-05,0,0,-0.028970188,0
60,3.00E-05,0,0,-0.013304788,0
61,3.05E-05,0,3.58E-38,0.020363465,5.37E-37
62,3.10E-05,0,7.21E-36,0.036539096,7.00E-35
63,3.15E-05,0,1.10E-33,0.017506355,6.99E-33
64,3.20E-05,0,1.29E-31,-0.021789704,5.41E-31
65,3.25E-05,0,1.16E-29,-0.04793001,3.28E-29
66,3.30E-05,0,8.21E-28,-0.036929093,1.58E-27
67,3.35E-05,0,4.56E-26,0.007191513,6.09E-26
68,3.40E-05,0,2.01E-24,0.053590205,1.89E-24
69,3.45E-05,0,7.07E-23,0.064909905,4.79E-23
70,3.50E-05,0,2.00E-21,0.025598204,9.96E-22
71,3.55E-05,0,4.60E-20,-0.04055066,1.72E-20
72,3.60E-05,0,8.61E-19,-0.082564622,2.48E-19
73,3.65E-05,0,1.32E-17,-0.062419232,3.05E-18
74,3.70E-05,0,1.68E-16,0.008571484,3.23E-17
75,3.75E-05,0,1.78E-15,0.074139372,2.97E-16
76,3.80E-05,0,1.57E-14,0.080971763,2.39E-15
77,3.85E-05,0,1.17E-13,0.026438842,1.71E-14
78,3.90E-05,0,7.37E-13,-0.040809687,1.08E-13
79,3.95E-05,0,3.94E-12,-0.067377649,6.05E-13
80,4.00E-05,0,1.79E-11,-0.041055914,3.00E-12
81,4.05E-05,0,6.96E-11,0.00657356,1.32E-11
82,4.10E-05,0,2.30E-10,0.036293957,5.10E-11
83,4.15E-05,0,6.46E-10,0.034813169,1.74E-10
84,4.20E-05,0,1.51E-09,0.015822724,5.20E-10
85,4.25E-05,0,2.86E-09,-0.002188854,1.35E-09
86,4.30E-05,0,4.00E-09,-0.012206971,3.03E-09
87,4.35E-05,0,2.70E-09,-0.015900049,5.72E-09
88,4.40E-05,0,-5.09E-09,-0.014222246,8.60E-09
89,4.45E-05,0,-2.36E-08,-0.006550374,8.85E-09
90,4.50E-05,0,-5.28E-08,0.003979013,1.42E-09
91,4.55E-05,0,-8.20E-08,0.011001067,-1.72E-08
92,4.60E-05,0,-8.92E-08,0.011812098,-3.66E-08
93,4.65E-05,0,-5.04E-08,0.009578185,-9.79E-09
94,4.70E-05,0,3.82E-08,0.006629356,1.70E-07
95,4.75E-05,0,1.41E-07,-0.000448377,6.43E-07
96,4.80E-05,0,1.93E-07,-0.013919984,1.40E-06
97,4.85E-05,0,1.51E-07,-0.024728766,1.86E-06
98,4.90E-05,0,7.29E-08,-0.01712843,2.30E-07
99,4.95E-05,0,1.36E-07,0.011154017,-6.46E-06
100,5.00E-05,0,5.18E-07,0.037784651,-2.05E-05
101,5.05E-05,0,1.09E-06,0.033964019,-3.93E-05
102,5.10E-05,0,1.06E-06,-0.002835825,-5.12E-05
103,5.15E-05,0,-1.17E-06,-0.039954215,-3.77E-05
104,5.20E-05,0,-7.43E-06,-0.040320009,1.55E-05
105,5.25E-05,0,-1.82E-05,-0.002189007,0.000105798
106,5.30E-05,0,-3.04E-05,0.037313126,0.000211369
107,5.35E-05,0,-3.60E-05,0.040552258,0.000293254
108,5.40E-05,0,-2.34E-05,0.00750813,0.000275446
109,5.45E-05,0,1.72E-05,-0.027433364,2.05E-05
110,5.50E-05,0,8.33E-05,-0.033569831,-0.000585891
111,5.55E-05,0,0.000148454,-0.012662554,-0.001362398
112,5.60E-05,0,0.000156176,0.010531261,-0.001613718
113,5.65E-05,0,3.41E-05,0.018701335,-0.000498155
114,5.70E-05,0,-0.000254165,0.015608942,0.00191178
115,5.75E-05,0,-0.000626683,0.011637542,0.003900332
116,5.80E-05,0,-0.000831275,0.006293958,0.003143664
117,5.85E-05,0,-0.000521965,-0.007568625,-0.000731525
118,5.90E-05,0,0.000486249,-0.02576362,-0.004764805
119,5.95E-05,0,0.001897541,-0.02933949,-0.004921908
120,6.00E-05,0,0.002834302,-0.00558641,-0.000493605
121,6.05E-05,0,0.002226983,0.030676389,0.004324017
122,6.10E-05,0,-0.000346685,0.045291487,0.004422054
123,6.15E-05,0,-0.003901328,0.019243035,-0.000408626
124,6.20E-05,0,-0.006149283,-0.02726665,-0.004684391
125,6.25E-05,0,-0.004856703,-0.050703127,-0.003167972
126,6.30E-05,0,0.00021135,-0.027142629,0.002863067
127,6.35E-05,0,0.006341543,0.021869719,0.006580853
128,6.40E-05,0,0.009219987,0.049172301,0.003257856
129,6.45E-05,0,0.006123225,0.029068239,-0.004093521
130,6.50E-05,0,-0.001454021,-0.016634516,-0.007864044
131,6.55E-05,0,-0.00829781,-0.041365612,-0.004319274
132,6.60E-05,0,-0.009305118,-0.021972036,0.002420159
